Wavelength,Responsivity
188.1128901343,0.000000000
188.5896205839,0.000000000
189.0663262465,0.000000000
189.5430071199,0.000000000
190.0196632020,0.000000000
190.4962944905,0.000000000
190.9729009834,0.000000000
191.4494826783,0.000000000
191.9260395732,0.000000000
192.4025716658,0.000000000
192.8790789540,0.000000000
193.3555614355,0.000000000
193.8320191082,0.000000000
194.3084519699,0.000000000
194.7848600184,0.000000000
195.2612432516,0.000000000
195.7376016671,0.000000000
196.2139352630,0.000000000
196.6902440369,0.000000000
197.1665279866,0.000000000
197.6427871101,0.000000000
198.1190214051,0.000000000
198.5952308694,0.000000000
199.0714155009,0.000000000
199.5475752973,0.000000000
200.0237102565,0.000000000
200.4998203763,0.000000000
200.9759056545,0.000000000
201.4519660889,0.000000000
201.9280016774,0.000000000
202.4040124177,0.000000000
202.8799983076,0.000000000
203.3559593451,0.000000000
203.8318955278,0.000000000
204.3078068537,0.000000000
204.7836933204,0.000000000
205.2595549259,0.000000000
205.7353916680,0.000000000
206.2112035444,0.000000000
206.6869905531,0.000000000
207.1627526917,0.000000000
207.6384899581,0.000000000
208.1142023502,0.000000000
208.5898898657,0.000000000
209.0655525024,0.000000000
209.5411902583,0.000000000
210.0168031310,0.000000000
210.4923911184,0.000000000
210.9679542183,0.000000000
211.4434924286,0.000000000
211.9190057471,0.000000000
212.3944941714,0.000000000
212.8699576996,0.000000000
213.3453963294,0.000000000
213.8208100585,0.000000000
214.2961988849,0.000000000
214.7715628064,0.000000000
215.2469018207,0.000000000
215.7222159256,0.000000000
216.1975051191,0.000000000
216.6727693988,0.000000000
217.1480087627,0.000000000
217.6232232084,0.000000000
218.0984127340,0.000000000
218.5735773370,0.000000000
219.0487170155,0.000000000
219.5238317671,0.000000000
219.9989215898,0.000000000
220.4739864812,0.000000000
220.9490264393,0.000000000
221.4240414619,0.000000000
221.8990315467,0.000000000
222.3739966916,0.000000000
222.8489368944,0.000000000
223.3238521529,0.000000000
223.7987424649,0.000000000
224.2736078282,0.000000000
224.7484482407,0.000000000
225.2232637002,0.000000000
225.6980542044,0.000000000
226.1728197513,0.000000000
226.6475603386,0.000000000
227.1222759641,0.000000000
227.5969666256,0.000000000
228.0716323210,0.000000000
228.5462730481,0.000000000
229.0208888046,0.000000000
229.4954795885,0.000000000
229.9700453974,0.000000000
230.4445862293,0.000000000
230.9191020820,0.000000000
231.3935929532,0.000000000
231.8680588408,0.000000000
232.3424997426,0.000000000
232.8169156564,0.000000000
233.2913065800,0.000000000
233.7656725113,0.000000000
234.2400134480,0.000000000
234.7143293879,0.000000000
235.1886203290,0.000000000
235.6628862690,0.000000000
236.1371272056,0.000000000
236.6113431368,0.000000000
237.0855340604,0.000000000
237.5596999740,0.000000000
238.0338408757,0.000000000
238.5079567632,0.000000000
238.9820476342,0.000000000
239.4561134867,0.000000000
239.9301543184,0.000000000
240.4041701272,0.000000000
240.8781609108,0.000000000
241.3521266671,0.000000000
241.8260673938,0.000000000
242.2999830889,0.000000000
242.7738737501,0.000000000
243.2477393753,0.000000000
243.7215799622,0.000000000
244.1953955087,0.000000000
244.6691860125,0.000000000
245.1429514716,0.000000000
245.6166918836,0.000000000
246.0904072465,0.000000000
246.5640975580,0.000000000
247.0377628160,0.000000000
247.5114030183,0.000000000
247.9850181626,0.000000000
248.4586082469,0.000000000
248.9321732688,0.000000000
249.4057132263,0.000000000
249.8792281172,0.000000000
250.3527179392,0.000000000
250.8261826901,0.000000000
251.2996223679,0.000000000
251.7730369703,0.000000000
252.2464264951,0.000000000
252.7197909401,0.000000000
253.1931303032,0.000000000
253.6664445821,0.000000000
254.1397337748,0.000000000
254.6129978789,0.000000000
255.0862368923,0.000000000
255.5594508129,0.000000000
256.0326396384,0.000000000
256.5058033667,0.000000000
256.9789419955,0.000000000
257.4520555227,0.000000000
257.9251439462,0.000000000
258.3982072636,0.000000000
258.8712454729,0.000000000
259.3442585718,0.000000000
259.8172465582,0.000000000
260.2902094298,0.000000000
260.7631471846,0.000000000
261.2360598202,0.000000000
261.7089473346,0.000000000
262.1818097255,0.000000000
262.6546469908,0.000000000
263.1274591282,0.000000000
263.6002461356,0.000000000
264.0730080108,0.000000000
264.5457447516,0.000000000
265.0184563558,0.000000000
265.4911428213,0.000000000
265.9638041458,0.000000000
266.4364403273,0.000000000
266.9090513633,0.000000000
267.3816372519,0.000000000
267.8541979908,0.000000000
268.3267335779,0.000000000
268.7992440109,0.000000000
269.2717292876,0.000000000
269.7441894059,0.000000000
270.2166243636,0.000000000
270.6890341585,0.000000000
271.1614187885,0.000000000
271.6337782513,0.000000000
272.1061125447,0.000000000
272.5784216666,0.000000000
273.0507056147,0.000000000
273.5229643870,0.000000000
273.9951979812,0.000000000
274.4674063951,0.000000000
274.9395896265,0.000000000
275.4117476733,0.000000000
275.8838805333,0.000000000
276.3559882042,0.000000000
276.8280706840,0.000000000
277.3001279703,0.000000000
277.7721600611,0.000000000
278.2441669541,0.000000000
278.7161486472,0.000000000
279.1881051382,0.000000000
279.6600364249,0.000000000
280.1319425051,0.000000000
280.6038233765,0.000000000
281.0756790372,0.000000000
281.5475094847,0.000000000
282.0193147171,0.000000000
282.4910947320,0.000000000
282.9628495273,0.000000000
283.4345791008,0.000000000
283.9062834504,0.000000000
284.3779625738,0.000000000
284.8496164688,0.000000000
285.3212451333,0.000000000
285.7928485651,0.000000000
286.2644267620,0.000000000
286.7359797218,0.000000000
287.2075074424,0.000000000
287.6790099215,0.000000000
288.1504871569,0.000000000
288.6219391465,0.000000000
289.0933658881,0.000000000
289.5647673795,0.000000000
290.0361436186,0.000000000
290.5074946030,0.000000000
290.9788203308,0.000000000
291.4501207995,0.000000000
291.9213960072,0.000000000
292.3926459515,0.000000000
292.8638706304,0.000000000
293.3350700416,0.000000000
293.8062441829,0.000000000
294.2773930522,0.000000000
294.7485166473,0.000000000
295.2196149659,0.000000000
295.6906880059,0.000000000
296.1617357652,0.000000000
296.6327582414,0.000000000
297.1037554326,0.000000000
297.5747273363,0.000000000
298.0456739506,0.000000000
298.5165952731,0.000000000
298.9874913018,0.000000000
299.4583620343,0.000000000
299.9292074686,0.000000000
300.4000276025,0.000000000
300.8708224337,0.000000000
301.3415919601,0.000000000
301.8123361795,0.000000000
302.2830550897,0.000000000
302.7537486885,0.000000000
303.2244169737,0.000000000
303.6950599433,0.000000000
304.1656775948,0.000000000
304.6362699263,0.000000000
305.1068369355,0.000000000
305.5773786201,0.000000000
306.0478949781,0.000000000
306.5183860073,0.000000000
306.9888517054,0.000000000
307.4592920703,0.000000000
307.9297070997,0.000000000
308.4000967916,0.000000000
308.8704611437,0.000000000
309.3408001538,0.000000000
309.8111138198,0.000000000
310.2814021394,0.000000000
310.7516651105,0.000000000
311.2219027309,0.000000000
311.6921149984,0.000000000
312.1623019109,0.000000000
312.6324634660,0.000000000
313.1025996618,0.000000000
313.5727104958,0.000000000
314.0427959661,0.000000000
314.5128560704,0.000000000
314.9828908065,0.000000000
315.4529001722,0.000000000
315.9228841654,0.000000000
316.3928427838,0.000000000
316.8627760253,0.000000000
317.3326838877,0.000000000
317.8025663687,0.000000000
318.2724234663,0.000000000
318.7422551783,0.000000000
319.2120615023,0.000000000
319.6818424364,0.000000000
320.1515979782,0.000000000
320.6213281256,0.000000000
321.0910328764,0.000000000
321.5607122285,0.000000000
322.0303661796,0.000000000
322.4999947275,0.000000000
322.9695978701,0.000000000
323.4391756052,0.000000000
323.9087279306,0.000000000
324.3782548441,0.000000000
324.8477563435,0.000000000
325.3172324266,0.000000000
325.7866830914,0.000000000
326.2561083355,0.000000000
326.7255081567,0.000000000
327.1948825530,0.000000000
327.6642315221,0.000000000
328.1335550619,0.000000000
328.6028531700,0.000000000
329.0721258445,0.000000000
329.5413730830,0.000000000
330.0105948834,0.000000000
330.4797912435,0.000000000
330.9489621612,0.000000000
331.4181076342,0.000000000
331.8872276603,0.000000000
332.3563222374,0.000000000
332.8253913633,0.000000000
333.2944350357,0.000000000
333.7634532526,0.000000000
334.2324460117,0.000000000
334.7014133109,0.000000000
335.1703551479,0.000000000
335.6392715206,0.000000000
336.1081624268,0.000000000
336.5770278642,0.000000000
337.0458678308,0.000000000
337.5146823244,0.000000000
337.9834713426,0.000000000
338.4522348835,0.000000000
338.9209729447,0.000000000
339.3896855241,0.000000000
339.8583726195,0.000000000
340.3270342287,0.000000000
340.7956703496,0.000000000
341.2642809799,0.000000000
341.7328661175,0.000000000
342.2014257601,0.000000000
342.6699599057,0.000000000
343.1384685520,0.000000000
343.6069516968,0.000000000
344.0754093379,0.000000000
344.5438414732,0.000000000
345.0122481005,0.000000000
345.4806292175,0.000000000
345.9489848222,0.000000000
346.4173149123,0.000000000
346.8856194856,0.000000000
347.3538985399,0.000000000
347.8221520731,0.000000000
348.2903800830,0.000000000
348.7585825674,0.000000000
349.2267595241,0.000000000
349.6949109509,0.000000000
350.1630368456,0.000000000
350.6311372061,0.000000000
351.0992120302,0.000000000
351.5672613156,0.000000000
352.0352850603,0.000000000
352.5032832619,0.000000000
352.9712559184,0.000000000
353.4392030275,0.000000000
353.9071245871,0.000000000
354.3750205949,0.000000000
354.8428910488,0.000000000
355.3107359467,0.000000000
355.7785552862,0.000000000
356.2463490653,0.000000000
356.7141172817,0.000000000
357.1818599333,0.000000000
357.6495770178,0.000000000
358.1172685332,0.000000000
358.5849344771,0.000000000
359.0525748475,0.000000000
359.5201896421,0.000000000
359.9877788588,0.000000000
360.4553424953,0.000000000
360.9228805495,0.000000000
361.3903930192,0.000000000
361.8578799022,0.000000000
362.3253411963,0.000000000
362.7927768994,0.000000000
363.2601870092,0.000000000
363.7275715236,0.000000000
364.1949304404,0.000000000
364.6622637574,0.000000000
365.1295714724,0.000000000
365.5968535833,0.000000000
366.0641100877,0.000000000
366.5313409837,0.000000000
366.9985462689,0.000000000
367.4657259412,0.000000000
367.9328799984,0.000000000
368.4000084383,0.000000000
368.8671112588,0.000000000
369.3341884576,0.000000000
369.8012400326,0.000000000
370.2682659815,0.000000000
370.7352663023,0.000000000
371.2022409927,0.000000000
371.6691900505,0.000000000
372.1361134735,0.000000000
372.6030112596,0.000000000
373.0698834065,0.000000000
373.5367299122,0.000000000
374.0035507743,0.000000000
374.4703459907,0.000000000
374.9371155593,0.000000000
375.4038594779,0.000000000
375.8705777441,0.000000000
376.3372703560,0.000000000
376.8039373113,0.000000000
377.2705786077,0.000000000
377.7371942432,0.000000000
378.2037842155,0.000000000
378.6703485224,0.000000000
379.1368871619,0.000000000
379.6034001316,0.000000000
380.0698874294,0.000000000
380.5363490531,0.000000000
381.0027850005,0.000000000
381.4691952695,0.000000000
381.9355798578,0.000000000
382.4019387633,0.000000000
382.8682719838,0.000000000
383.3345795171,0.000000000
383.8008613609,0.000000000
384.2671175133,0.000000000
384.7333479718,0.000000000
385.1995527345,0.000000000
385.6657317990,0.000000000
386.1318851631,0.000000000
386.5980128248,0.000000000
387.0641147818,0.000000000
387.5301910320,0.000000000
387.9962415731,0.000000000
388.4622664029,0.000000000
388.9282655194,0.000000000
389.3942389202,0.000000000
389.8601866032,0.000000000
390.3261085663,0.000000000
390.7920048072,0.000000000
391.2578753238,0.000000000
391.7237201138,0.000000000
392.1895391751,0.000000000
392.6553325055,0.000000000
393.1211001028,0.000000000
393.5868419649,0.000000000
394.0525580895,0.000000000
394.5182484744,0.000000000
394.9839131175,0.000000000
395.4495520166,0.000000000
395.9151651696,0.000000000
396.3807525741,0.000000000
396.8463142281,0.000000000
397.3118501293,0.000000000
397.7773602756,0.000000000
398.2428446647,0.000000000
398.7083032946,0.000000000
399.1737361629,0.000000000
399.6391432676,0.000000000
400.1045246064,0.000000000
400.5698801772,0.000000000
401.0352099778,0.000000000
401.5005140059,0.000000000
401.9657922594,0.049797380
402.4310447362,0.050098891
402.8962714339,0.050400385
403.3614723505,0.050701862
403.8266474838,0.051003323
404.2917968315,0.051304767
404.7569203916,0.051606194
405.2220181617,0.051907605
405.6870901398,0.052189105
406.1521363235,0.052460504
406.6171567109,0.052731888
407.0821512996,0.053003257
407.5471200874,0.053274610
408.0120630723,0.053545949
408.4769802520,0.053817273
408.9418716243,0.054088581
409.4067371870,0.054330931
409.8715769380,0.054572111
410.3363908750,0.054813278
410.8011789960,0.055054431
411.2659412986,0.055295571
411.7306777808,0.055536697
412.1953884402,0.055777811
412.6600732748,0.056015080
413.1247322824,0.056241252
413.5893654608,0.056467411
414.0539728077,0.056693557
414.5185543210,0.056919691
414.9831099986,0.057145812
415.4476398382,0.057371920
415.9121438376,0.057598016
416.3766219947,0.057824100
416.8410743073,0.058050170
417.3055007732,0.058276229
417.7699013901,0.058502274
418.2342761560,0.058728307
418.6986250687,0.058954328
419.1629481258,0.059180336
419.6272453254,0.059406331
420.0915166651,0.059720123
420.5557621429,0.060050904
421.0199817564,0.060381666
421.4841755036,0.060712410
421.9483433822,0.061043136
422.4124853901,0.061373843
422.8766015250,0.061704532
423.3406917848,0.062042491
423.8047561674,0.062433083
424.2687946704,0.062823654
424.7328072918,0.063214204
425.1967940293,0.063604731
425.6607548808,0.063995237
426.1246898441,0.064385721
426.5885989169,0.064776183
427.0524820972,0.065184581
427.5163393827,0.065619763
427.9801707712,0.066054922
428.4439762606,0.066490056
428.9077558486,0.066925165
429.3715095331,0.067360251
429.8352373120,0.067795312
430.2989391829,0.068230349
430.7626151437,0.068847354
431.2262651923,0.069551279
431.6898893265,0.070255165
432.1534875440,0.070959012
432.6170598427,0.071662819
433.0806062205,0.072366587
433.5441266750,0.073070316
434.0076212042,0.073774005
434.4710898058,0.074519970
434.9345324776,0.075268376
435.3979492176,0.076016740
435.8613400234,0.076765062
436.3247048930,0.077513342
436.7880438240,0.078261580
437.2513568144,0.079009777
437.7146438620,0.079776566
438.1779049645,0.080614080
438.6411401198,0.081451547
439.1043493257,0.082288968
439.5675325800,0.083126342
440.0306898805,0.083963668
440.4938212251,0.084800948
440.9569266116,0.085638181
441.4200060377,0.086552069
441.8830595012,0.087553275
442.3460870001,0.088554425
442.8090885321,0.089555518
443.2720640951,0.090556555
443.7350136868,0.091557536
444.1979373050,0.092558461
444.6608349476,0.093559330
445.1237066124,0.094581485
445.5865522972,0.095611858
446.0493719999,0.096642174
446.5121657181,0.097672432
446.9749334499,0.098702632
447.4376751929,0.099732774
447.9003909449,0.100762858
448.3630807039,0.101792884
448.8257444676,0.103089521
449.2883822338,0.104394392
449.7509940003,0.105699189
450.2135797650,0.107003913
450.6761395257,0.108308564
451.1386732801,0.109613141
451.6011810262,0.110917645
452.0636627616,0.112373451
452.5261184843,0.113854245
452.9885481921,0.115334957
453.4509518827,0.116815585
453.9133295540,0.118296129
454.3756812037,0.119776591
454.8380068298,0.121186681
455.3003064300,0.122485700
455.7625800021,0.123784646
456.2248275440,0.125083519
456.6870490535,0.126382319
457.1492445283,0.127681045
457.6114139663,0.128979699
458.0735573653,0.130497589
458.5356747232,0.132400360
458.9977660377,0.134303023
459.4598313066,0.136205578
459.9218705278,0.138108027
460.3838836992,0.140467230
460.8458708184,0.142991834
461.3078318833,0.145516295
461.7697668917,0.148040614
462.2316758415,0.151031478
462.6935587305,0.154111196
463.1554155564,0.157190741
463.6172463171,0.160017918
464.0790510104,0.162549130
464.5408296342,0.165080200
465.0025821862,0.167611127
465.4643086642,0.170239867
465.9260090661,0.173195773
466.3876833897,0.176151512
466.8493316327,0.179107084
467.3109537931,0.181994912
467.7725498686,0.184481898
468.2341198570,0.186968744
468.6956637562,0.189455448
469.1571815640,0.192287775
